0-att_sum,1-att_sum,2-att_sum,3-att_sum,4-att_sum,5-att_sum,6-att_sum,0-att_cnt,1-att_cnt,2-att_cnt,3-att_cnt,4-att_cnt,5-att_cnt,6-att_cnt,0-att_sum_min,1-att_sum_min,2-att_sum_min,3-att_sum_min,4-att_sum_min,5-att_sum_min,6-att_sum_min,0-att_sum_max,1-att_sum_max,2-att_sum_max,3-att_sum_max,4-att_sum_max,5-att_sum_max,6-att_sum_max,0-att_sum_avg,1-att_sum_avg,2-att_sum_avg,3-att_sum_avg,4-att_sum_avg,5-att_sum_avg,6-att_sum_avg,7-att_sum
42435.21,50011.08,59981.10000000001,65616.53,68531.55,77367.38,89035.22,205.0,254.0,293.0,324.0,345.0,367.0,407.0,26.9,14.0,30.0,29.9,14.0,33.0,24.0,987.27,894.0,1688.4,900.86,764.62,3830.01,4290.0,207.00102439024388,196.8940157480315,204.71365187713315,202.52015432098761,198.64217391304348,210.8102997275205,218.7597542997543,94966.54
2520.1,2520.1,2520.1,2520.1,2520.1,2520.1,2520.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.0333333333333,840.0333333333333,840.0333333333333,840.0333333333333,840.0333333333333,840.0333333333333,840.0333333333333,2520.1
24551.5,30544.76,33358.450000000004,39563.69,44899.10000000001,48687.81000000001,77233.46,106.0,128.0,142.0,162.0,174.0,195.0,240.0,19.0,29.8,29.99,27.9,120.97,43.98,20.0,4732.13,1690.0,429.4,2254.28,1207.72,680.0,15994.0,231.6179245283019,238.6309375,234.91866197183103,244.2203086419753,258.0408045977012,249.6810769230769,321.80608333333333,84065.20000000001
2294.26,2294.26,4838.26,6732.16,7940.96,11391.96,11729.96,19.0,19.0,29.0,35.0,42.0,54.0,59.0,53.89,0.0,60.0,37.0,36.0,37.0,32.0,140.0,0.0,608.0,1282.9,405.0,1155.0,104.0,120.75052631578946,120.75052631578946,166.8365517241379,192.34742857142857,189.0704761904762,210.96222222222218,198.81288135593215,11729.96
1479.75,1508.25,2050.25,2050.25,2050.25,2050.25,2050.25,1.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,28.5,542.0,0.0,0.0,0.0,0.0,0.0,28.5,542.0,0.0,0.0,0.0,0.0,1479.75,754.125,683.4166666666666,683.4166666666666,683.4166666666666,683.4166666666666,683.4166666666666,2050.25
843.0,843.0,843.0,843.0,843.0,843.0,843.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,843.0
108073.61,137009.47,215620.92,235287.66,262727.77,284153.24,313317.65,247.0,306.0,365.0,402.0,450.0,498.0,546.0,39.5,5.0,4.0,4.0,28.0,29.6,67.1,1773.69,1593.35,29798.28,1298.85,2271.4,1780.67,1420.44,437.54497975708506,447.7433660130719,590.7422465753424,585.2926865671642,583.8394888888888,570.5888353413653,573.8418498168497,363099.65
184.7,184.7,184.7,184.7,184.7,184.7,580.46,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,185.16,0.0,0.0,0.0,0.0,0.0,0.0,210.6,184.7,184.7,184.7,184.7,184.7,184.7,193.48666666666668,580.46
3107.4,3107.4,3107.4,3107.4,51023.52,52343.52,55606.36,3.0,3.0,3.0,3.0,27.0,29.0,35.0,0.0,0.0,0.0,0.0,48.0,534.0,86.0,0.0,0.0,0.0,0.0,13543.32,786.0,1199.0,1035.8,1035.8,1035.8,1035.8,1889.76,1804.9489655172413,1588.7531428571426,64266.58
1707.8200000000004,2086.100000000001,2304.100000000001,3312.350000000001,6256.35,6568.83,12028.58,16.0,18.0,20.0,23.0,24.0,26.0,47.0,36.0,38.0,43.0,120.8,2944.0,105.5,5.99,165.0,340.28,175.0,676.0,2944.0,206.98,820.0,106.73875,115.89444444444445,115.205,144.0152173913044,260.68125000000003,252.6473076923077,255.92723404255318,25975.2
1061.8,1061.8,1061.8,1061.8,1061.8,1061.8,1061.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.9,530.9,530.9,530.9,530.9,530.9,530.9,1061.8
440.0,440.0,492.0,540.0,540.0,540.0,580.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,0.0,0.0,52.0,48.0,0.0,0.0,40.0,0.0,0.0,52.0,48.0,0.0,0.0,40.0,110.0,110.0,98.4,90.0,90.0,90.0,82.85714285714286,580.0
