0-att_sum,1-att_sum,2-att_sum,3-att_sum,4-att_sum,5-att_sum,6-att_sum,0-att_cnt,1-att_cnt,2-att_cnt,3-att_cnt,4-att_cnt,5-att_cnt,6-att_cnt,0-att_sum_min,1-att_sum_min,2-att_sum_min,3-att_sum_min,4-att_sum_min,5-att_sum_min,6-att_sum_min,0-att_sum_max,1-att_sum_max,2-att_sum_max,3-att_sum_max,4-att_sum_max,5-att_sum_max,6-att_sum_max,0-att_sum_avg,1-att_sum_avg,2-att_sum_avg,3-att_sum_avg,4-att_sum_avg,5-att_sum_avg,6-att_sum_avg,7-att_sum
2520.1,2520.1,2520.1,2520.1,2520.1,2520.1,2520.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,544.1,0.0,0.0,0.0,0.0,0.0,0.0,1386.0,0.0,0.0,0.0,0.0,0.0,0.0,840.0333333333333,840.0333333333333,840.0333333333333,840.0333333333333,840.0333333333333,840.0333333333333,840.0333333333333,2520.1
1305.51,3301.13,8099.86,14729.57,24551.5,30544.76,33358.450000000004,6.0,22.0,43.0,81.0,106.0,128.0,142.0,16.9,24.0,25.9,38.0,19.0,29.8,29.99,277.9,408.67,575.0,522.28,4732.13,1690.0,429.4,217.585,150.05136363636362,188.36883720930234,181.84654320987653,231.6179245283019,238.6309375,234.91866197183103,39563.69
492.8,1380.8,1771.8,1816.8,2294.26,2294.26,4838.26,6.0,12.0,13.0,14.0,19.0,19.0,29.0,33.0,45.0,391.0,45.0,53.89,0.0,60.0,164.85,449.0,391.0,45.0,140.0,0.0,608.0,82.13333333333334,115.06666666666666,136.2923076923077,129.77142857142857,120.75052631578946,120.75052631578946,166.8365517241379,6732.16
1479.75,1479.75,1479.75,1479.75,1479.75,1508.25,2050.25,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1479.75,0.0,0.0,0.0,0.0,28.5,542.0,1479.75,0.0,0.0,0.0,0.0,28.5,542.0,1479.75,1479.75,1479.75,1479.75,1479.75,754.125,683.4166666666666,2050.25
76.0,809.0,843.0,843.0,843.0,843.0,843.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,76.0,733.0,34.0,0.0,0.0,0.0,0.0,76.0,733.0,34.0,0.0,0.0,0.0,0.0,76.0,404.5,281.0,281.0,281.0,281.0,281.0,843.0
5280.62,25819.42,51278.76,78108.59,108073.61,137009.47,215620.92,8.0,61.0,131.0,187.0,247.0,306.0,365.0,85.0,15.0,25.95,38.5,39.5,5.0,4.0,1133.0,1491.06,2650.0,3671.68,1773.69,1593.35,29798.28,660.0775,423.2691803278688,391.4409160305343,417.6929946524064,437.54497975708506,447.7433660130719,590.7422465753424,235287.66
184.7,184.7,184.7,184.7,184.7,184.7,184.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,184.7,0.0,0.0,0.0,0.0,0.0,0.0,184.7,0.0,0.0,0.0,0.0,0.0,0.0,184.7,184.7,184.7,184.7,184.7,184.7,184.7,184.7
707.4,3107.4,3107.4,3107.4,3107.4,3107.4,3107.4,2.0,3.0,3.0,3.0,3.0,3.0,3.0,283.9,2400.0,0.0,0.0,0.0,0.0,0.0,423.5,2400.0,0.0,0.0,0.0,0.0,0.0,353.7,1035.8,1035.8,1035.8,1035.8,1035.8,1035.8,3107.4
258.85,643.74,670.64,1159.92,1707.8200000000004,2086.100000000001,2304.100000000001,3.0,7.0,8.0,11.0,16.0,18.0,20.0,36.0,24.99,26.9,28.0,36.0,38.0,43.0,159.7,254.0,26.9,341.9,165.0,340.28,175.0,86.28333333333335,91.96285714285715,83.83,105.44727272727272,106.73875,115.89444444444445,115.205,3312.350000000001
1061.8,1061.8,1061.8,1061.8,1061.8,1061.8,1061.8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,726.8,0.0,0.0,0.0,0.0,0.0,0.0,530.9,530.9,530.9,530.9,530.9,530.9,530.9,1061.8
254.0,254.0,440.0,440.0,440.0,440.0,492.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,99.0,0.0,60.0,0.0,0.0,0.0,52.0,155.0,0.0,126.0,0.0,0.0,0.0,52.0,127.0,127.0,110.0,110.0,110.0,110.0,98.4,540.0
954.0,954.0,2598.88,2598.88,2598.88,2598.88,2598.88,3.0,3.0,7.0,7.0,7.0,7.0,7.0,220.0,0.0,65.69,0.0,0.0,0.0,0.0,475.0,0.0,862.21,0.0,0.0,0.0,0.0,318.0,318.0,371.2685714285714,371.2685714285714,371.2685714285714,371.2685714285714,371.2685714285714,2598.88
2116.55,2116.55,2116.55,2116.55,2116.55,2116.55,2116.55,8.0,8.0,8.0,8.0,8.0,8.0,8.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.0,0.0,0.0,0.0,0.0,0.0,0.0,264.56875,264.56875,264.56875,264.56875,264.56875,264.56875,264.56875,2116.55
7446.14,12037.66,18050.58,29923.620000000006,39778.36,54849.64,65185.25,7.0,13.0,20.0,38.0,48.0,61.0,73.0,38.0,51.0,444.55,45.1,172.0,239.0,136.17,2101.54,2876.7,1478.83,1882.93,2003.85,2281.0,3452.57,1063.7342857142858,925.973846153846,902.529,787.4636842105265,828.7158333333333,899.1744262295082,892.9486301369863,89667.70999999998
376.5,831.3,831.3,989.3,1077.3,1177.2,1177.2,2.0,9.0,9.0,10.0,11.0,12.0,12.0,58.0,21.0,0.0,158.0,88.0,99.9,0.0,318.5,100.0,0.0,158.0,88.0,99.9,0.0,188.25,92.36666666666666,92.36666666666666,98.93,97.93636363636364,98.1,98.1,1177.2
10009.48,21593.49,38990.62,51662.83,63109.42999999999,73514.79999999999,88648.48999999998,25.0,66.0,98.0,127.0,153.0,176.0,202.0,7.46,4.9,15.0,25.0,39.9,41.3,23.1,1202.66,936.59,2544.0,1376.69,1369.76,1628.54,1684.89,400.3792,327.17409090909086,397.8634693877551,406.793937007874,412.47993464052286,417.6977272727272,438.8539108910891,115825.83
603.4,692.6999999999998,692.6999999999998,1602.64,7838.82,14646.14,20390.79,2.0,3.0,3.0,6.0,24.0,42.0,54.0,264.0,89.3,0.0,185.0,43.1,54.0,28.0,339.4,89.3,0.0,470.0,2004.0,2642.11,1117.4,301.7,230.9,230.9,267.1066666666666,326.6175,348.7176190476191,377.6072222222222,22861.21
574.2,1039.71,1604.71,8457.71,17637.949999999993,23415.42,24411.51,2.0,3.0,4.0,10.0,22.0,30.0,34.0,184.2,465.51,565.0,230.0,88.0,27.79,37.0,390.0,465.51,565.0,2167.0,5680.0,1707.0,441.09,287.1,346.57,401.1775,845.7710000000001,801.7249999999998,780.5139999999999,717.985588235294,33116.28
478.29,478.29,478.29,478.29,773.29,2194.29,3639.29,1.0,1.0,1.0,1.0,3.0,12.0,17.0,478.29,0.0,0.0,0.0,60.0,5.0,110.0,478.29,0.0,0.0,0.0,235.0,310.0,680.0,478.29,478.29,478.29,478.29,257.7633333333333,182.8575,214.07588235294116,7649.08
4055.87,22197.57,28867.48,37096.62,37096.62,51169.98,60640.26,6.0,39.0,51.0,63.0,63.0,86.0,111.0,269.96,119.0,60.0,112.0,0.0,103.79,31.0,1230.0,1566.28,1598.93,1439.47,0.0,2428.52,1059.34,675.9783333333334,569.1684615384615,566.0290196078431,588.8352380952381,588.8352380952381,594.9997674418604,546.3086486486486,60817.06999999999
13147.72,34071.02,49914.16,65619.66,77709.03,90242.26,107911.01,50.0,96.0,141.0,191.0,231.0,273.0,318.0,13.45,21.59,41.0,37.0,24.0,20.0,20.0,1509.23,2187.0,1568.18,1871.84,1946.78,1148.36,1873.68,262.9544,354.90645833333326,354.001134751773,343.55842931937167,336.40272727272725,330.55772893772894,339.34279874213837,128429.37
25787.36,43603.54,58714.4,86986.18,106633.7,124846.22,145395.59,61.0,106.0,144.0,195.0,242.0,283.0,334.0,32.0,12.0,25.0,17.0,36.0,22.04,27.0,2990.0,2749.2,2757.19,2322.28,3093.2,3263.24,2798.34,422.74360655737706,411.35415094339623,407.7388888888889,446.0829743589743,440.6351239669422,441.15272084805656,435.31613772455086,150754.75
433.95,748.95,748.95,2358.52,3781.22,4222.1500000000015,4222.1500000000015,2.0,4.0,4.0,17.0,27.0,31.0,31.0,190.0,126.0,0.0,27.9,35.0,62.99,0.0,243.95,189.0,0.0,540.0,254.95,125.98,0.0,216.975,187.2375,187.2375,138.7364705882353,140.0451851851852,136.19838709677418,136.19838709677418,5705.1500000000015
270.0,1459.76,3288.71,3288.71,3288.71,3288.71,3288.71,1.0,6.0,12.0,12.0,12.0,12.0,12.0,270.0,99.0,49.0,0.0,0.0,0.0,0.0,270.0,397.76,538.45,0.0,0.0,0.0,0.0,270.0,243.2933333333333,274.05916666666667,274.05916666666667,274.05916666666667,274.05916666666667,274.05916666666667,3288.71
2155.9,8382.81,9399.38,15252.68,29609.620000000006,45690.38000000001,49503.60000000001,3.0,18.0,19.0,28.0,57.0,90.0,96.0,240.9,149.8,1016.57,155.35,103.8,98.0,305.3,1465.0,1670.0,1016.57,1300.0,1109.9,1480.0,1178.66,718.6333333333333,465.7116666666666,494.70421052631576,544.7385714285714,519.4670175438597,507.67088888888895,515.6625,57221.17000000001
3520.62,11132.89,25063.42,27880.61,27880.61,28133.61,28133.61,2.0,10.0,21.0,27.0,27.0,28.0,28.0,1187.88,410.0,149.0,98.0,0.0,253.0,0.0,2332.74,2040.0,5103.43,1550.39,0.0,253.0,0.0,1760.31,1113.289,1193.4961904761906,1032.6151851851848,1032.6151851851848,1004.7717857142856,1004.7717857142856,28133.61
4877.78,6259.78,21333.48,24110.8,27720.45,28062.45,41393.78,8.0,11.0,26.0,34.0,44.0,45.0,59.0,83.44,344.0,226.0,61.0,31.92,342.0,191.0,1439.0,527.0,4386.6,786.0,849.0,342.0,2495.0,609.7225,569.0709090909089,820.5184615384616,709.1411764705882,630.0102272727273,623.61,701.5894915254237,42946.58
1877.61,5874.61,11353.57,19039.28,22729.31,33519.49,39235.1,8.0,22.0,36.0,57.0,63.0,95.0,115.0,67.97,50.0,61.8,106.83,107.77,34.0,50.0,450.0,1600.0,1727.5,850.0,1954.6,1592.1,711.0,234.70125,267.02772727272725,315.3769444444445,334.02245614035087,360.7826984126984,352.83673684210527,341.17478260869564,44583.02
94.9,640.1999999999998,915.57,2504.4700000000007,3148.28,4889.26,5479.1500000000015,1.0,4.0,6.0,9.0,13.0,20.0,24.0,94.9,56.98,135.67,272.2,79.8,35.0,82.1,94.9,277.96,139.7,977.0,300.71,628.37,211.29,94.9,160.04999999999995,152.595,278.2744444444445,242.17538461538464,244.463,228.29791666666668,5479.1500000000015
351.0,576.0,698.0,820.0,820.0,1404.5,1404.5,3.0,4.0,5.0,6.0,6.0,7.0,7.0,117.0,225.0,122.0,122.0,0.0,584.5,0.0,117.0,225.0,122.0,122.0,0.0,584.5,0.0,117.0,144.0,139.6,136.66666666666666,136.66666666666666,200.64285714285717,200.64285714285717,1404.5
14839.13,24286.01,25647.8,25977.79,26088.69,29061.01,40583.9,49.0,84.0,91.0,94.0,96.0,105.0,142.0,25.0,3.0,40.0,51.0,21.0,24.99,12.0,2291.0,1368.0,343.6,149.99,89.9,913.7,1618.98,302.8393877551021,289.1191666666667,281.8439560439561,276.3594680851064,271.75718750000004,276.77152380952384,285.80211267605637,43717.16
931.0,1808.32,4114.71,26616.76,32362.04,37260.17,37260.17,3.0,8.0,15.0,25.0,34.0,37.0,37.0,199.1,33.0,46.3,132.72,142.37,774.0,0.0,426.1,352.0,1310.0,12000.0,3151.0,3003.19,0.0,310.3333333333333,226.04,274.314,1064.6704,951.8247058823528,1007.0316216216215,1007.0316216216215,37260.17
458.22,2277.02,3654.11,10192.14,10192.14,10594.14,11816.48,2.0,9.0,14.0,26.0,26.0,27.0,30.0,147.0,73.0,89.0,77.0,0.0,402.0,75.34,311.22,526.0,668.09,1390.5,0.0,402.0,773.0,229.11,253.00222222222226,261.0078571428571,392.00538461538457,392.00538461538457,392.3755555555555,393.8826666666666,14103.48
3914.0,5961.0,5961.0,5961.0,11628.0,11828.0,11828.0,7.0,14.0,14.0,14.0,21.0,22.0,22.0,40.0,80.0,0.0,0.0,137.0,200.0,0.0,1168.0,629.0,0.0,0.0,1384.0,200.0,0.0,559.1428571428571,425.78571428571433,425.78571428571433,425.78571428571433,553.7142857142857,537.6363636363636,537.6363636363636,11828.0
2246.49,7075.7,12294.6,12336.569999999998,14342.719999999998,16459.51,21157.86,23.0,55.0,75.0,78.0,90.0,100.0,130.0,15.95,8.99,39.99,7.0,24.99,16.99,5.5,378.46,549.98,1479.85,24.98,503.96,723.67,1042.57,97.67347826086956,128.64909090909092,163.92799999999997,158.1611538461538,159.36355555555554,164.59509999999997,162.75276923076925,21177.85
2246.94,4100.57,11742.88,19639.49,38371.45,63421.76,76472.19,5.0,13.0,33.0,50.0,98.0,158.0,192.0,194.6,38.0,24.0,159.97,24.0,25.0,20.0,1171.84,384.4,1335.92,1018.9,1948.0,2135.0,1901.72,449.388,315.4284615384616,355.84484848484846,392.7898,391.5454081632653,401.4035443037975,398.29265625,81210.21
891.0,891.0,1754.0,1754.0,1754.0,5299.01,10529.01,3.0,3.0,4.0,4.0,4.0,14.0,23.0,94.0,0.0,863.0,0.0,0.0,30.0,28.0,694.0,0.0,863.0,0.0,0.0,1500.0,2058.0,297.0,297.0,438.5,438.5,438.5,378.50071428571437,457.7830434782609,12720.17
14640.76,28691.58,52901.28,72544.34,82028.73999999999,98869.73,110144.24,54.0,91.0,164.0,222.0,254.0,297.0,330.0,9.9,25.0,24.99,21.0,57.99,28.99,39.99,1228.86,929.08,1347.6,2071.43,792.41,1874.48,1592.25,271.1251851851852,315.29208791208794,322.5687804878049,326.7763063063063,322.9477952755905,332.89471380471383,333.7704242424242,128559.11
230.98,4206.58,9281.13,9676.93,11047.45,12538.7,14284.7,2.0,7.0,16.0,20.0,24.0,29.0,33.0,32.0,112.6,69.99,56.0,61.87,85.88,59.9,198.98,2840.0,3181.0,170.8,888.0,647.89,1015.6,115.49,600.9399999999998,580.0706250000002,483.8465,460.3104166666667,432.36896551724135,432.86969696969703,16212.22
1635.0,2225.0,2225.0,8952.32,8952.32,9445.32,11857.6,4.0,5.0,5.0,17.0,17.0,19.0,28.0,65.0,590.0,0.0,37.98,0.0,85.0,15.9,690.0,590.0,0.0,4000.0,0.0,408.0,731.6,408.75,445.0,445.0,526.6070588235293,526.6070588235293,497.1221052631579,423.4857142857143,17465.5
